iter	Passed	Remaining
159	268	1409
160	268	1400
161	269	1393
162	270	1386
163	270	1379
164	271	1372
165	271	1364
166	272	1357
167	272	1351
168	273	1344
169	273	1337
170	274	1331
171	275	1324
172	275	1317
173	276	1311
174	276	1305
175	277	1298
176	278	1293
177	279	1289
178	280	1284
179	280	1278
180	281	1272
181	281	1267
182	282	1261
183	283	1256
184	283	1250
185	284	1245
186	285	1239
187	285	1233
188	286	1227
189	286	1222
190	287	1216
191	287	1211
192	288	1205
193	288	1200
194	289	1195
195	290	1190
196	290	1184
197	291	1179
198	291	1174
199	292	1170
200	293	1166
201	294	1162
202	295	1158
203	295	1153
204	296	1149
205	297	1145
206	297	1140
207	298	1135
208	298	1131
209	299	1127
210	300	1122
211	300	1117
212	301	1113
213	301	1108
214	302	1104
215	303	1099
216	303	1095
217	304	1091
218	304	1086
219	306	1088
220	307	1084
221	308	1080
222	309	1076
223	309	1073
224	310	1068
225	310	1064
226	311	1060
227	311	1056
228	312	1052
229	313	1047
230	313	1043
231	314	1039
232	314	1035
233	315	1031
234	315	1027
235	316	1023
236	316	1019
237	317	1016
238	317	1012
239	318	1008
240	318	1004
241	319	1000
242	320	997
243	320	993
244	321	989
245	321	986
246	322	982
247	322	979
248	323	976
249	324	973
250	325	970
251	325	966
252	326	963
253	326	960
254	327	956
255	327	953
256	328	949
257	329	946
258	329	943
259	330	940
260	330	936
261	331	933
262	332	930
263	332	927
264	333	924
265	333	920
266	334	917
267	334	914
268	335	911
269	336	908
270	336	905
271	337	902
272	337	899
273	338	897
274	339	894
275	340	891
276	340	889
277	341	886
278	341	883
279	342	880
280	342	877
281	343	874
282	344	871
283	344	868
284	345	865
285	345	863
286	346	860
287	346	857
288	347	854
289	347	851
290	348	849
291	349	846
292	349	843
293	350	841
294	350	838
295	351	835
296	351	832
297	352	830
298	353	828
299	354	826
300	354	823
301	355	821
302	355	818
303	356	816
304	357	813
305	357	811
306	358	808
307	358	806
308	359	803
309	359	801
310	360	798
311	361	796
312	361	793
313	362	791
314	362	789
315	363	786
316	364	784
317	364	781
318	365	779
319	365	777
320	366	774
321	366	772
322	367	770
323	368	768
324	369	766
325	369	764
326	370	762
327	371	760
328	371	757
329	372	755
330	372	753
331	373	751
332	373	748
333	374	746
334	375	744
335	375	742
336	376	740
337	376	738
338	377	736
339	378	733
340	378	731
341	379	729
342	379	727
343	380	725
344	381	723
345	381	721
346	382	719
347	382	717
348	383	715
349	384	714
350	385	712
351	385	710
352	386	708
353	387	706
354	387	704
355	388	702
356	389	700
357	389	699
358	390	697
359	390	695
360	391	693
361	392	691
362	392	689
363	393	687
364	394	685
365	394	683
366	395	681
367	395	680
368	396	678
369	397	676
370	398	676
371	399	674
372	400	673
373	401	671
374	401	669
375	402	667
376	402	665
377	403	664
378	404	662
379	405	660
380	405	658
381	406	656
382	406	655
383	407	653
384	407	651
385	408	649
386	408	647
387	409	645
388	410	643
389	410	642
390	411	640
391	411	638
392	412	636
393	413	635
394	413	633
395	414	632
396	415	630
397	415	628
398	416	626
399	416	625
400	417	623
401	417	621
402	418	619
403	418	618
404	419	616
405	420	614
406	420	612
407	421	611
408	421	609
409	422	607
410	422	605
411	423	604
412	423	602
413	424	600
414	424	598
415	425	597
416	425	595
417	426	593
418	426	592
419	427	590
420	428	589
421	428	587
422	429	585
423	430	584
424	430	582
425	431	580
426	431	579
427	432	577
428	432	575
429	433	574
430	433	572
431	434	571
432	434	569
433	435	567
434	435	566
435	436	564
436	436	562
437	437	561
438	437	559
439	438	558
440	439	556
441	439	554
442	440	553
443	440	551
444	441	550
445	441	548
446	442	547
447	443	545
448	443	544
449	444	542
450	444	541
451	445	540
452	445	538
453	446	536
454	446	535
455	447	533
456	447	532
457	448	530
458	448	529
459	449	527
460	449	525
461	450	524
462	450	522
463	451	521
464	451	519
465	452	518
466	452	516
467	453	515
468	453	513
469	454	512
470	454	510
471	455	509
472	455	507
473	456	506
474	456	504
475	457	503
476	458	502
477	458	501
478	459	499
479	459	498
480	460	496
481	460	495
482	461	493
483	461	492
484	462	491
485	462	489
486	463	488
487	463	486
488	464	485
489	464	483
490	465	482
